serial_number,movie_name,introduction,description,star,evaluate
58,饮食男女,1994/中国台湾美国/剧情家庭,人生不能像做菜，把所有的料都准备好了才下锅。,9.1,348033人评价
59,哈利·波特与魔法石,2001/美国英国/奇幻冒险,童话世界的开端。,8.9,533103人评价
60,大闹天宫,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,经典之作，历久弥新。,9.3,220738人评价
61,钢琴家,2002/法国德国英国波兰/剧情传记历史战争音乐,音乐能化解仇恨。,9.1,320189人评价
62,本杰明·巴顿奇事,2008/美国/剧情爱情奇幻,在时间之河里感受溺水之苦。,8.9,628795人评价
63,海豚湾,2009/美国/纪录片,海豚的微笑，是世界上最高明的伪装。,9.3,262073人评价
64,黑客帝国,1999/美国澳大利亚/动作科幻,视觉革命。,9.0,481055人评价
65,情书,1995/日本/剧情爱情,暗恋的极致。,8.9,585410人评价
66,看不见的客人,2016/西班牙/剧情犯罪悬疑惊悚,你以为你以为的就是你以为的。,8.8,710128人评价
67,我不是药神,2018/中国大陆/剧情喜剧,对我们国家而言，这样的电影多一部是一部。,9.0,1311537人评价
68,让子弹飞,2010/中国大陆中国香港/剧情喜剧动作西部,你给我翻译翻译，神马叫做TMD的惊喜。,8.8,1026150人评价
69,猫鼠游戏,2002/美国加拿大/传记犯罪剧情,骗子大师和执著警探的你追我跑故事。 ,8.9,466369人评价
70,西西里的美丽传说,2000/意大利美国/剧情战争情色,美丽无罪。,8.9,609995人评价
71,小鞋子,1997/伊朗/剧情儿童家庭,奔跑的孩子是天使。,9.2,243580人评价
72,拯救大兵瑞恩,1998/美国/剧情历史战争,美利坚精神输出大片No1.,9.0,404585人评价
73,美国往事,1984/美国意大利/犯罪剧情,往事如烟，无处祭奠。,9.2,269984人评价
74,音乐之声,1965/美国/剧情传记爱情歌舞,用音乐化解仇恨，让歌声串起美好。,9.0,373466人评价
75,致命魔术,2006/美国英国/剧情悬疑惊悚,孪生蝙蝠侠大战克隆金刚狼。,8.8,538142人评价
76,七宗罪,1995/美国/剧情犯罪悬疑惊悚,警察抓小偷，老鼠玩死猫。,8.8,635316人评价
77,穿条纹睡衣的男孩,2008/英国美国/剧情战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,9.1,295026人评价
78,低俗小说,1994/美国/剧情喜剧犯罪,故事的高级讲法。,8.8,538560人评价
79,被嫌弃的松子的一生,2006/日本/剧情歌舞,以戏谑来戏谑戏谑。,8.9,482459人评价
80,沉默的羔羊,1991/美国/剧情犯罪惊悚,安东尼·霍普金斯的顶级表演。,8.8,536149人评价
81,蝴蝶效应,2004/美国加拿大/剧情悬疑科幻惊悚,人的命运被自己瞬间的抉择改变。,8.8,591199人评价
82,春光乍泄,1997/中国香港日本韩国/剧情爱情同性,爱情纠缠，男女一致。,8.9,399657人评价
83,心灵捕手,1997/美国/剧情,人生中应该拥有这样的一段豁然开朗。,8.9,438636人评价
84,禁闭岛,2010/美国/剧情悬疑惊悚,昔日翩翩少年，今日大腹便便。,8.8,586292人评价
85,勇敢的心,1995/美国/动作传记剧情历史战争,史诗大片的典范。,8.9,411281人评价
86,布达佩斯大饭店,2014/美国德国英国/剧情喜剧冒险,小清新的故事里注入了大历史的情怀。,8.8,549431人评价
87,剪刀手爱德华,1990/美国/剧情奇幻爱情,浪漫忧郁的成人童话。,8.7,724273人评价
88,天使爱美丽,2001/法国德国/喜剧爱情,法式小清新。 ,8.7,700214人评价
89,阿凡达,2009/美国英国/动作科幻冒险,绝对意义上的美轮美奂。,8.7,853585人评价
90,摩登时代,1936/美国/剧情喜剧爱情,大时代中的人生，小人物的悲喜。,9.3,169219人评价
91,加勒比海盗,2003/美国/动作冒险奇幻,约翰尼·德普的独角戏。,8.7,563973人评价
92,致命ID,2003/美国/剧情悬疑惊悚,最不可能的那个人永远是最可能的。,8.8,491859人评价
93,断背山,2005/美国加拿大/剧情爱情同性家庭,每个人心中都有一座断背山。,8.8,484045人评价
94,幽灵公主,1997/日本/动画奇幻冒险,人与自然的战争史诗。,8.9,357117人评价
95,入殓师,2008/日本/剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.8,421531人评价
96,喜剧之王,1999/中国香港/喜剧剧情爱情,我是一个演员。,8.7,571744人评价
97,阳光灿烂的日子,1994/中国大陆中国香港/剧情爱情,一场华丽的意淫。,8.8,407861人评价
98,狩猎,2012/丹麦瑞典/剧情,人言可畏。,9.1,214888人评价
99,重庆森林,1994/中国香港/剧情爱情,寂寞没有期限。,8.7,508958人评价
100,第六感,1999/美国/剧情悬疑惊悚,深入内心的恐怖，出人意料的结局。,8.9,350042人评价
101,海蒂和爷爷,2015/德国瑞士南非/剧情冒险家庭,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,9.2,181666人评价
102,杀人回忆,2003/韩国/犯罪剧情悬疑惊悚,关于连环杀人悬案的集体回忆。,8.8,383586人评价
103,玛丽和马克思,2009/澳大利亚/剧情喜剧动画,你是我最好的朋友，你是我唯一的朋友 。,8.9,305760人评价
104,小森林 夏秋篇,2014/日本/剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。,9.0,252230人评价
105,消失的爱人,2014/美国/剧情犯罪悬疑惊悚,年度最佳date movie。,8.7,570502人评价
106,请以你的名字呼唤我,2017/意大利法国巴西美国荷兰德国/剧情爱情同性,沉醉在电影的情感和视听氛围中无法自拔。,8.8,368642人评价
107,告白,2010/日本/剧情惊悚,没有一人完全善，也没有一人完全恶。,8.7,498291人评价
108,一一,2000/中国台湾日本/剧情爱情家庭,我们都曾经是一一。,9.0,225086人评价
109,大鱼,2003/美国/剧情家庭奇幻冒险,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.8,374967人评价
110,爱在黎明破晓前,1995/美国奥地利瑞士/剧情爱情,缘分是个连绵词，最美不过一瞬。,8.8,357753人评价
111,红辣椒,2006/日本/动画悬疑科幻惊悚,梦的勾结。,9.0,236245人评价
112,阳光姐妹淘,2011/韩国/剧情喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8,407644人评价
113,侧耳倾听,1995/日本/剧情爱情动画,少女情怀总是诗。,8.9,281416人评价
114,7号房的礼物,2013/韩国/剧情喜剧家庭,《我是山姆》的《美丽人生》。,8.8,311191人评价
115,射雕英雄传之东成西就,1993/中国香港/喜剧奇幻武侠古装,百看不厌。 ,8.7,414361人评价
116,哈利·波特与死亡圣器(下),2011/美国英国/剧情悬疑奇幻冒险,10年的完美句点。,8.8,451134人评价
117,甜蜜蜜,1996/中国香港/剧情爱情,相逢只要一瞬间，等待却像是一辈子。,8.8,329569人评价
118,超脱,2011/美国/剧情,穷尽一生，我们要学会的，不过是彼此拥抱。,8.9,285567人评价
119,倩女幽魂,1987/中国香港/爱情奇幻武侠古装,两张绝世的脸。 ,8.7,439907人评价
120,小森林 冬春篇,2015/日本/剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,9.0,219587人评价
121,驯龙高手,2010/美国/动画奇幻冒险,和谐的生活离不开摸头与被摸头。,8.7,477779人评价
122,蝙蝠侠：黑暗骑士崛起,2012/美国英国/剧情动作科幻犯罪惊悚,诺兰就是保证。,8.7,455413人评价
123,菊次郎的夏天,1999/日本/剧情喜剧,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.8,314954人评价
